,country,GWP_import,year,GWP_export
0,AT,55610651244.5,1995,13769498289.2
1,AU,132841925617.0,1995,171910662947.0
2,BE,87827273370.7,1995,43266376981.6
3,BG,6837777113.64,1995,21947073306.1
4,BR,167412117490.0,1995,64674843787.0
5,CA,386713307845.0,1995,230545391955.0
6,CH,100292783909.0,1995,12820439537.2
7,CN,221653794738.0,1995,2445995538500.0
8,CY,8981644919.76,1995,11043375816.9
9,CZ,22017043769.7,1995,33216391739.6
10,DE,395683790766.0,1995,158375004394.0
11,DK,48698250932.1,1995,16277735912.3
12,EE,4267108174.04,1995,8759973386.53
13,ES,152543533500.0,1995,39859085589.2
14,FI,39526728068.8,1995,17460281183.5
15,FR,367685998992.0,1995,110981509133.0
16,GB,374585820001.0,1995,108112350055.0
17,GR,41583226610.3,1995,20800293528.1
18,HR,10394942330.4,1995,4710559281.94
19,HU,24243621829.7,1995,15798954994.8
20,ID,156723417242.0,1995,189131977160.0
21,IE,16752875618.9,1995,46296921004.8
22,IN,81297484730.4,1995,452149539131.0
23,IT,302142109211.0,1995,76888977660.5
24,JP,780327916914.0,1995,170803445408.0
25,KR,253374081684.0,1995,144132326980.0
26,LT,6760410400.55,1995,3961755422.9
27,LU,1485994663.13,1995,3216311989.47
28,LV,3311214871.99,1995,3262828787.99
29,MT,1292394200.75,1995,495631848.86
30,MX,124991713579.0,1995,153816904864.0
31,NL,115559405844.0,1995,153540501152.0
32,NO,102113141598.0,1995,32108952944.7
33,PL,44872132116.7,1995,60656558106.8
34,PT,64904172551.1,1995,12840089392.5
35,RO,9001319960.31,1995,16142271505.8
36,RU,230127485369.0,1995,645505613678.0
37,SE,74345976909.8,1995,15668004375.1
38,SI,9899321516.44,1995,5261524385.62
39,SK,20834002256.6,1995,6677438713.24
40,TR,60084643847.8,1995,54782194911.3
41,TW,180181909482.0,1995,119501875603.0
42,US,1694271971500.0,1995,442752726261.0
43,WA,1661240223320.0,1995,1272597836720.0
44,WE,66941522420.6,1995,223521289494.0
45,WF,151335368082.0,1995,371093440412.0
46,WL,209260807394.0,1995,364196651273.0
47,WM,332613101850.0,1995,768868125279.0
48,ZA,24961982074.8,1995,70212387638.3
0,AT,54300572241.7,1996,14020408105.2
1,AU,92950385972.8,1996,143876247571.0
2,BE,75133827724.1,1996,52784376576.0
3,BG,8916663980.09,1996,26916184108.1
4,BR,79121742511.5,1996,45761808767.6
5,CA,110356436805.0,1996,181520750476.0
6,CH,79446494245.5,1996,13672693630.7
7,CN,185742148137.0,1996,749758491712.0
8,CY,8156749068.86,1996,3154799664.36
9,CZ,63208836870.2,1996,33530016181.1
10,DE,439223549564.0,1996,172296758525.0
11,DK,35890100581.8,1996,20942971971.6
12,EE,6598436134.23,1996,4825399783.82
13,ES,147597234823.0,1996,56239620985.1
14,FI,37345151786.3,1996,18560504310.8
15,FR,357263247423.0,1996,101028531931.0
16,GB,289097812511.0,1996,157380735340.0
17,GR,44199542330.6,1996,23542006323.7
18,HR,7564963188.79,1996,4616507471.44
19,HU,53334929664.7,1996,14980073455.0
20,ID,111249256043.0,1996,112493686255.0
21,IE,19219767894.4,1996,26025254305.9
22,IN,91990972648.9,1996,145669612844.0
23,IT,304021293979.0,1996,89553586328.9
24,JP,609576366567.0,1996,169137739387.0
25,KR,208887894063.0,1996,69847342476.4
