iso3c,year,population
AUS,2019,25365745
AUS,2018,24982688
AUS,2017,24601860
AUS,2016,24190907
AUS,2015,23815995
AUS,2014,23475686
AUS,2013,23128129
AUS,2012,22733465
AUS,2011,22340024
AUS,2010,22031750
AUS,2009,21691700
AUS,2008,21249200
AUS,2007,20827600
AUS,2006,20697900
AUS,2005,20394800
AUS,2004,20127400
AUS,2003,19895400
AUS,2002,19651400
AUS,2001,19413000
AUS,2000,19153000
AUS,1999,18926000
AUS,1998,18711000
AUS,1997,18517000
AUS,1996,18311000
AUS,1995,18072000
AUT,2019,8879920
AUT,2018,8840521
AUT,2017,8797566
AUT,2016,8736668
AUT,2015,8642699
AUT,2014,8546356
AUT,2013,8479823
AUT,2012,8429991
AUT,2011,8391643
AUT,2010,8363404
AUT,2009,8343323
AUT,2008,8321496
AUT,2007,8295487
AUT,2006,8268641
AUT,2005,8227829
AUT,2004,8171966
AUT,2003,8121423
AUT,2002,8081957
AUT,2001,8042293
AUT,2000,8011566
AUT,1999,7992324
AUT,1998,7976789
AUT,1997,7968041
AUT,1996,7959017
AUT,1995,7948278
BEL,2019,11488980
BEL,2018,11427054
BEL,2017,11375158
BEL,2016,11331422
BEL,2015,11274196
BEL,2014,11209057
BEL,2013,11159407
BEL,2012,11106932
BEL,2011,11038264
BEL,2010,10895586
BEL,2009,10796493
BEL,2008,10709973
BEL,2007,10625700
BEL,2006,10547958
BEL,2005,10478617
BEL,2004,10421137
BEL,2003,10376133
BEL,2002,10332785
BEL,2001,10286570
BEL,2000,10251250
BEL,1999,10226419
BEL,1998,10203008
BEL,1997,10181245
BEL,1996,10156637
BEL,1995,10136811
BGR,2019,6975761
BGR,2018,7025037
BGR,2017,7075947
BGR,2016,7127822
BGR,2015,7177991
BGR,2014,7223938
BGR,2013,7265115
BGR,2012,7305888
BGR,2011,7348328
BGR,2010,7395599
BGR,2009,7444443
BGR,2008,7492561
BGR,2007,7545338
BGR,2006,7601022
BGR,2005,7658972
BGR,2004,7716860
BGR,2003,7775327
BGR,2002,7837161
BGR,2001,8009142
BGR,2000,8170172
BGR,1999,8210624
BGR,1998,8256786
BGR,1997,8312068
BGR,1996,8362826
BGR,1995,8406067
BRA,2019,211049519
BRA,2018,209469320
BRA,2017,207833825
BRA,2016,206163056
BRA,2015,204471759
BRA,2014,202763744
BRA,2013,201035904
BRA,2012,199287292
BRA,2011,197514541
BRA,2010,195713637
BRA,2009,193886505
BRA,2008,192030362
BRA,2007,190130445
BRA,2006,188167353
BRA,2005,186127108
BRA,2004,184006479
BRA,2003,181809244
BRA,2002,179537523
BRA,2001,177196051
BRA,2000,174790339
BRA,1999,172318674
BRA,1998,169785253
BRA,1997,167209046
BRA,1996,164614682
BRA,1995,162019889
CAN,2019,37601230
CAN,2018,37065084
CAN,2017,36545236
CAN,2016,36109487
CAN,2015,35702908
CAN,2014,35437435
CAN,2013,35082954
CAN,2012,34714222
CAN,2011,34339328
CAN,2010,34004889
CAN,2009,33628895
CAN,2008,33247118
CAN,2007,32889025
CAN,2006,32571174
CAN,2005,32243753
CAN,2004,31940655
CAN,2003,31644028
CAN,2002,31360079
CAN,2001,31020902
CAN,2000,30685730
CAN,1999,30401286
CAN,1998,30155173
CAN,1997,29905948
CAN,1996,29610218
CAN,1995,29302311
CHE,2019,8575280
CHE,2018,8514329
CHE,2017,8451840
CHE,2016,8373338
CHE,2015,8282396
CHE,2014,8188649
CHE,2013,8089346
CHE,2012,7996861
CHE,2011,7912398
CHE,2010,7824909
CHE,2009,7743831
CHE,2008,7647675
CHE,2007,7551117
CHE,2006,7483934
CHE,2005,7437115
CHE,2004,7389625
CHE,2003,7339001
CHE,2002,7284753
CHE,2001,7229854
CHE,2000,7184250
CHE,1999,7143991
CHE,1998,7110001
CHE,1997,7088906
CHE,1996,7071850
CHE,1995,7040687
CHN,2019,1407745000
CHN,2018,1402760000
CHN,2017,1396215000
CHN,2016,1387790000
CHN,2015,1379860000
CHN,2014,1371860000
CHN,2013,1363240000
CHN,2012,1354190000
CHN,2011,1345035000
CHN,2010,1337705000
CHN,2009,1331260000
CHN,2008,1324655000
CHN,2007,1317885000
CHN,2006,1311020000
CHN,2005,1303720000
CHN,2004,1296075000
CHN,2003,1288400000
CHN,2002,1280400000
CHN,2001,1271850000
CHN,2000,1262645000
CHN,1999,1252735000
CHN,1998,1241935000
CHN,1997,1230075000
CHN,1996,1217550000
CHN,1995,1204855000
CYP,2019,1198574
CYP,2018,1189262
CYP,2017,1179685
CYP,2016,1170189
CYP,2015,1160987
CYP,2014,1152297
CYP,2013,1143866
CYP,2012,1135046
CYP,2011,1124837
CYP,2010,1112617
CYP,2009,1098089
CYP,2008,1081568
CYP,2007,1063708
CYP,2006,1045508
CYP,2005,1027657
CYP,2004,1010410
CYP,2003,993562
CYP,2002,976968
CYP,2001,960274
CYP,2000,943288
CYP,1999,926049
CYP,1998,908710
CYP,1997,891190
CYP,1996,873426
CYP,1995,855391
CZE,2019,10671870
CZE,2018,10629928
CZE,2017,10594438
CZE,2016,10566332
CZE,2015,10546059
CZE,2014,10525347
CZE,2013,10514272
CZE,2012,10510785
CZE,2011,10496088
CZE,2010,10474410
CZE,2009,10443936
CZE,2008,10384603
CZE,2007,10298828
CZE,2006,10238905
CZE,2005,10211216
CZE,2004,10197101
CZE,2003,10193998
CZE,2002,10196916
CZE,2001,10216605
CZE,2000,10255063
CZE,1999,10283860
CZE,1998,10294373
CZE,1997,10304131
CZE,1996,10315241
CZE,1995,10327253
DEU,2019,83092962
DEU,2018,82905782
